bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2022,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2022,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2022,FTII,data mining,0,0.0,pypdf,FTII__data mining
CIMB,2022,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2022,FTII,distributed ledger,1,8.633118368685954e-06,pypdf,FTII__distributed ledger
CIMB,2022,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2022,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2022,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2022,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2022,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2022,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2022,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2022,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2022,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2022,FTOI,internet banking,1,8.633118368685954e-06,pypdf,FTOI__internet banking
CIMB,2022,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2022,FTOI,mobile banking,7,6.043182858080167e-05,pypdf,FTOI__mobile banking
CIMB,2022,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2022,FTOI,online banking,5,4.3165591843429765e-05,pypdf,FTOI__online banking
CIMB,2022,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2022,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2022,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2022,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2022,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2023,FTII,ai,2,1.721170395869191e-05,pypdf,FTII__ai
